Paper Title,Multimodal Information Extraction,Multimodal Information Extraction (score),Multimodal Information Extraction (sentence),Semantic Alignment with BIM/IFC,Semantic Alignment with BIM/IFC (score),Semantic Alignment with BIM/IFC (sentence),Formalisation of Regulatory Text,Formalisation of Regulatory Text (score),Formalisation of Regulatory Text (sentence),Rule Representation and Reasoning,Rule Representation and Reasoning (score),Rule Representation and Reasoning (sentence),Integration of Ontologies and Knowledge Graphs,Integration of Ontologies and Knowledge Graphs (score),Integration of Ontologies and Knowledge Graphs (sentence),Model–Driven Compliance Intelligence,Model–Driven Compliance Intelligence (score),Model–Driven Compliance Intelligence (sentence),Explainability and Trust in AI Systems,Explainability and Trust in AI Systems (score),Explainability and Trust in AI Systems (sentence),Human-in-the-Loop Approaches,Human-in-the-Loop Approaches (score),Human-in-the-Loop Approaches (sentence),Evaluation and Benchmarking,Evaluation and Benchmarking (score),Evaluation and Benchmarking (sentence),Tool Development and Real-World Application,Tool Development and Real-World Application (score),Tool Development and Real-World Application (sentence)
A. Donkers and E. Petrova 2024,partially addressed,0.623,"el-gohary, semantic nlp-based information extraction from construction regulatory documents for automated compliance checking, journal of computing in civil engineering",partially addressed,0.618,"the authors concluded that the linked data approaches utilizing semantic web rule language (swrl), sparql protocol and rdf query language (sparql), and shapes constraint language (shacl) are the most expressive and thus best suited for automated compliance checking in the aec industry",partially addressed,0.696,"lin, knowledge-informed semantic alignment and rule interpretation for automated compliance checking, automation in construction",partially addressed,0.638,"although much research has investigated automated compliance checking of (fire safety) regulations, the goal of capturing the regulations in a machine-understandable format has yet to be fully achieved",partially addressed,0.693,"the authors concluded that the linked data approaches utilizing semantic web rule language (swrl), sparql protocol and rdf query language (sparql), and shapes constraint language (shacl) are the most expressive and thus best suited for automated compliance checking in the aec industry",partially addressed,0.541,"lin, knowledge-informed semantic alignment and rule interpretation for automated compliance checking, automation in construction",partially addressed,0.652,"although much research has investigated automated compliance checking of (fire safety) regulations, the goal of capturing the regulations in a machine-understandable format has yet to be fully achieved",partially addressed,0.574,"broyd, capabilities of rule representations for automated compliance checking in healthcare buildings, automation in construction",partially addressed,0.63,"verstraeten, comparative analysis of approaches for automated compliance checking of construction data, advanced engineering informatics",partially addressed,0.673,"broyd, capabilities of rule representations for automated compliance checking in healthcare buildings, automation in construction"
A. Ismail et al. 2023,partially addressed,0.639,keywords: building information modelling; compliance checking; semantics; knowledge representation; visual programming language 1,directly addressed,0.756,the bim properties provide guidelines to designers in equipping their bim models for compliance checking,directly addressed,0.702,ontology-based semantic modeling of regulation constraint for automated construction quality compliance checking,partially addressed,0.689,keywords: building information modelling; compliance checking; semantics; knowledge representation; visual programming language 1,partially addressed,0.632,ontology-based semantic modeling of regulation constraint for automated construction quality compliance checking,partially addressed,0.537,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,partially addressed,0.655,keywords: building information modelling; compliance checking; semantics; knowledge representation; visual programming language 1,partially addressed,0.556,development of an object model for automated compliance 84,partially addressed,0.678,77 accuracy to assess the accuracy of the checking process and compliance results 4,directly addressed,0.838,conclusions and recommendations this paper describes a user-friendly approach to developing an automated system for compliance checking in a bim-based environment
A. Karmakar and V. Delhi 2023,partially addressed,0.579,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",partially addressed,0.684,"xing, building ontology-based environmental monitoring and compliance checking under bim environment, build",directly addressed,0.724,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",directly addressed,0.72,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",partially addressed,0.618,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",partially addressed,0.569,"finally, from a comprehensive stakeholder's perspective, the adaptation of ai/ml-based semantic enrichment removes the additional efforts required from the end users, leading to an organic growth of automatic code compliance checking in the industry",partially addressed,0.619,"borrmann, automated code compliance checking based on a visual language and building information modeling, 32nd int",partially addressed,0.549,"finally, from a comprehensive stakeholder's perspective, the adaptation of ai/ml-based semantic enrichment removes the additional efforts required from the end users, leading to an organic growth of automatic code compliance checking in the industry",partially addressed,0.582,"nawari, a generalized adaptive framework for automating code compliance checking, build",directly addressed,0.764,"modern bim tools successfully address most of these capabilities, except for automated code compliance checking (accc) [2]"
A. Karmakar and V. Delhi 2025,partially addressed,0.597,"rule-based and ml-based approaches the integration of rule-based methods and ml techniques has significantly advanced semantic enrichment in bim, addressing chal- lenges in automation, classification, and compliance verification",directly addressed,0.728,"gaps in knowledge despite advancements in semantic enrichment, existing methods for bim-based compliance verification remain limited in addressing com- plex regulatory requirements",partially addressed,0.696,"logical frameworks, including decision tables and graphical reasoning models, further refine the rule-based analysis by systematically mapping criteria to compliance decisions [17,40]",directly addressed,0.709,"logical frameworks, including decision tables and graphical reasoning models, further refine the rule-based analysis by systematically mapping criteria to compliance decisions [17,40]",directly addressed,0.725,"by leveraging resource description frameworks (rdf) and web ontology languages (owl), these approaches enhance data integration and reasoning capabilities, allowing more dynamic compliance verification [41]",partially addressed,0.646,"rule-based and ml-based approaches the integration of rule-based methods and ml techniques has significantly advanced semantic enrichment in bim, addressing chal- lenges in automation, classification, and compliance verification",partially addressed,0.688,"logical frameworks, including decision tables and graphical reasoning models, further refine the rule-based analysis by systematically mapping criteria to compliance decisions [17,40]",partially addressed,0.557,"greenwood, development of an object model for automated compliance checking, autom",partially addressed,0.669,"greenwood, development of an object model for automated compliance checking, autom",directly addressed,0.782,"greenwood, development of an object model for automated compliance checking, autom"
A. Karmakar et al. 2024,partially addressed,0.521,"thus, applying ai- based knowledge transfer mechanisms will only solidify the path for structured data acquisition protocols, leading to the industry's highly required automated compliance checking system",partially addressed,0.626,the interoperability among the different bim authoring tools was also addressed through semantically enriched bim knowledge graphs produced over the backbone of the ifc graph structure [30],partially addressed,0.623,"keywords  code compliance checking; knowledge graphs; artificial intelligence 1 introduction step from information for design the construction industry behaves in a fragmented manner where information is not transferred across a building lifecycle, projects, and stakeholders",partially addressed,0.576,"eastman, ""classification of rule checking rules development,"" autom",partially addressed,0.652,a graph-based framework was proposed in this study to facilitate the knowledge transfer process for compliance checking,partially addressed,0.553,"delhi, ""requirements of machine learning and semantic enrichment for bim-based automated code compliance checking: a focus group study,"" in international conference on computing in civil & building engineering, no",partially addressed,0.65,"the target audience for this application can be the new architects, reviewers, and programmers working on developing the end-to- end automated compliance checking systems",partially addressed,0.596,"the target audience for this application can be the new architects, reviewers, and programmers working on developing the end-to- end automated compliance checking systems",directly addressed,0.718,"the target audience for this application can be the new architects, reviewers, and programmers working on developing the end-to- end automated compliance checking systems",directly addressed,0.764,"the target audience for this application can be the new architects, reviewers, and programmers working on developing the end-to- end automated compliance checking systems"
B. Qi and A. Costin 2023,not addressed,0.449,"therefore, this research addresses these issues by introducing ontology, automated requirement checking, and conict detection techniques into dfma",partially addressed,0.686,ontology-based framework for building environmental monitoring and compliance checking under bim environment,partially addressed,0.58,ontology-based framework for building environmental monitoring and compliance checking under bim environment,partially addressed,0.54,ontology-based framework for building environmental monitoring and compliance checking under bim environment,partially addressed,0.614,ontology-based framework for building environmental monitoring and compliance checking under bim environment,not addressed,0.406,ontology-based framework for building environmental monitoring and compliance checking under bim environment,not addressed,0.483,ontology-based framework for building environmental monitoring and compliance checking under bim environment,not addressed,0.367,"then, they were requested to use the software to input requirements, detect conflicts, and test requirement checking",partially addressed,0.521,the automated requirement checking results and conict checking results were compared with ground truth to validate the accuracy of the framework,partially addressed,0.625,ontology-based framework for building environmental monitoring and compliance checking under bim environment
C. Lee et al. 2024,partially addressed,0.52,"domain-specific languages are used to extract and parse information from regulations into computer executable code, such as kbim",partially addressed,0.668,"quantitative rules assessing explicit bim entity properties are straightforward but compliance analyses using implicit information, like circulation paths, are challenging",partially addressed,0.668,"the study proposes a novel method for regulatory design rule checking (rdrc) for building circulation, addressing challenges in translating regulations to computational constructs and extracting relevant information from complex bim models",partially addressed,0.652,"the study proposes a novel method for regulatory design rule checking (rdrc) for building circulation, addressing challenges in translating regulations to computational constructs and extracting relevant information from complex bim models",partially addressed,0.55,automated code compliance checking research based on bim and knowledge graph,not addressed,0.457,"rdrc assessment is done using a tiered approach starting from (a) basic compliance testing, (b) deep-insight analysis to identify reasons for non-compliance, and (c) concluding with design recommendations",partially addressed,0.559,"the study proposes a novel method for regulatory design rule checking (rdrc) for building circulation, addressing challenges in translating regulations to computational constructs and extracting relevant information from complex bim models",not addressed,0.469,"however, the numerous criteria mandated by various government departments render regulatory compliance checking a time-intensive process traditionally manually carried out by professionals in the architecture, engineering and construction (aec) industry (lee et al",partially addressed,0.575,automated code compliance checking research based on bim and knowledge graph,directly addressed,0.727,automated code compliance checking research based on bim and knowledge graph
C. Rausch et al. 2022,not addressed,0.418,"1, the proposed workflow for tolerancedm takes an initial bim and through a sequence of inference rules based on expert knowledge about identifying, assessing, and mitigating tolerance- related risks, automatically parses key tolerance relationships to create a semantically rich bim with tolerance management concepts such as tolerance categories and mitigation strategies",partially addressed,0.618,"a holistic approach to manage and document tolerances is highly valuable (yet currently elusive) to explicate requirements about bims with specific lods, as it provides a common understanding of how much a bim can be trusted",partially addressed,0.548,"jiang, towards an ontology- supported case-based reasoning approach for computer-aided tolerance specification, knowl",partially addressed,0.555,"1, the proposed workflow for tolerancedm takes an initial bim and through a sequence of inference rules based on expert knowledge about identifying, assessing, and mitigating tolerance- related risks, automatically parses key tolerance relationships to create a semantically rich bim with tolerance management concepts such as tolerance categories and mitigation strategies",partially addressed,0.619,"jiang, towards an ontology- supported case-based reasoning approach for computer-aided tolerance specification, knowl",not addressed,0.495,"since a generalisable process for such semantic enrichment is currently elusive, this paper presents a novel tolerance domain model (i",not addressed,0.471,", framework) for outlining permissible deviations or tolerances",partially addressed,0.528,refinement and validation the initial validation process consisted of collecting feedback from three external experts using semi-structured interviews,partially addressed,0.501,"for progress monitoring, tolerancedm will be developed further to assess the compliance of installed components with the specified tolerances by comparing as-built data (e",partially addressed,0.532,"for clarity, the scope of this present research is on the development of the dm and practical direct use-cases, which is essential to move towards automated tolerance management and can be considered as a starting point for similar research efforts"
D. Al-Turki et al. 2024,partially addressed,0.626,"primarily, it translates regulatory/norma- tive text into well-defined logical rules while preserving the texts structure and semantics, facilitating automated rule checking",directly addressed,0.702,the integration of this structured data into bim models for compliance validation falls outside the scope of this paper and is intended for future work where these connections will be explored in detail,directly addressed,0.733,"utilizing the capabilities of large language models (llms), this study focused on transforming textual descriptions of building regulations into structured yaml formats, which are instrumental in facilitating automated compliance check (acc) processes",partially addressed,0.666,this stage is crucial for laying the foundation of automated compliance checking by enabling the structured representation of regu- latory requirements,partially addressed,0.576,"the findings demonstrate substantial enhancements in both structural and semantic accuracies of the generated yaml files, underscoring the potential of integrating llms with active learning to streamline regulatory compliance automation",partially addressed,0.638,"this work investigates the automation of the requirement, applicability, selection, and exception (rase) methodology for building regulatory compliance through the utilization of large language models (llms) and active learning techniques",partially addressed,0.593,this stage is crucial for laying the foundation of automated compliance checking by enabling the structured representation of regu- latory requirements,partially addressed,0.64,1) computational innovations and practical implications for automated compliance checking integration of fine-tuning with progressive active learning in our study represents a significant computational advancement in the automated handling of complex regulatory texts,partially addressed,0.663,these efforts are aimed at improving the systems scalability and reducing the human burden without compromising the quality of compliance checks,directly addressed,0.778,"introduction has been a substantial shift toward automated compliance compliance checking is paramount in the architecture, checking (acc), which has been a focus of research over the engineering, and construction (aec) industry to ensure that past five decades [19]"
D. Chen et al. 2024,partially addressed,0.607,"[54] multiple data representations of bim models semantically annotated building code semantically annotated building code semi-structured interviews with fire safety planners building geometric data provided in any representation general regulation general regulation general regulation fire safety general regulation visual programming and rule-based reasoning mathematical model rule-based reasoning mathematical model rule-based reasoning natural language processing integration with existing platforms ontology model/ semantic rule-based system natural language processing natural language processing natural language processing ontology model/ semantic rule-based system graph neural networks compliance checking, with a lack of specific emphasis on fire risks",directly addressed,0.769,"consequently, most exist- ing automated code compliance checking systems predominantly rely on information extracted from bim models, typically aligning with the ifc schema [48]",partially addressed,0.686,extensive research has also focused on automating the process of capturing building regulations into a computer-readable format,directly addressed,0.713,"wang, multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning, adv",directly addressed,0.707,"[9] proposed a multi-ontology fusion methodology, which integrates ontologies with rule-based reasoning for automated code compliance",partially addressed,0.579,"zhou and el-gohary [52] used deep learning for semantic information alignment in bims, targeting the automation of the alignment of rules and building information for energy compliance checking",partially addressed,0.672,"the integration of various rules and data sources in automated compliance checking has also emerged as a notable research area, with ghannad et al",partially addressed,0.573,"the integration of various rules and data sources in automated compliance checking has also emerged as a notable research area, with ghannad et al",directly addressed,0.736,"the integration of various rules and data sources in automated compliance checking has also emerged as a notable research area, with ghannad et al",directly addressed,0.791,"[50] proposed an ecosystem approach to compliance checking, aiming to integrate a variety of software tools and data models, extending beyond bim data"
